label,watts
Ceiling Fans,119.9
Ceiling Fans,119.8
Ceiling Fans,119.7
Ceiling Fans,119.6
Ceiling Fans,119.5
Ceiling Fans,119.4
Ceiling Fans,119.3
Ceiling Fans,119.2
Ceiling Fans,119.1
Ceiling Fans,119.0
Ceiling Fans,118.9
Ceiling Fans,118.8
Ceiling Fans,118.7
Ceiling Fans,118.6
Ceiling Fans,118.5
Ceiling Fans,118.4
Ceiling Fans,118.3
Ceiling Fans,118.2
Ceiling Fans,118.1
Ceiling Fans,118.0
Ceiling Fans,117.9
Ceiling Fans,117.8
Ceiling Fans,117.7
Ceiling Fans,117.6
Ceiling Fans,117.5
Ceiling Fans,117.4
Ceiling Fans,117.3
Ceiling Fans,117.2
Ceiling Fans,117.1
Ceiling Fans,117.0
Ceiling Fans,116.9
Ceiling Fans,116.8
Ceiling Fans,116.7
Ceiling Fans,116.6
Ceiling Fans,116.5
Ceiling Fans,116.4
Ceiling Fans,116.3
Ceiling Fans,116.2
Ceiling Fans,116.1
Ceiling Fans,116.0
Ceiling Fans,115.9
Ceiling Fans,115.8
Ceiling Fans,115.7
Ceiling Fans,115.6
Ceiling Fans,115.5
Ceiling Fans,120.1
Ceiling Fans,120.2
Ceiling Fans,120.3
Ceiling Fans,120.4
Ceiling Fans,120.5
Ceiling Fans,120.6
Ceiling Fans,120.7
Ceiling Fans,120.8
Ceiling Fans,120.9
Ceiling Fans,121.0
Ceiling Fans,121.1
Ceiling Fans,121.2
Ceiling Fans,121.3
Ceiling Fans,121.4
Ceiling Fans,121.5
Ceiling Fans,121.6
Ceiling Fans,121.7
Ceiling Fans,121.8
Ceiling Fans,121.9
Ceiling Fans,122.0
Ceiling Fans,122.1
Ceiling Fans,122.2
Ceiling Fans,122.3
Ceiling Fans,122.4
Ceiling Fans,122.5
Ceiling Fans,122.6
Ceiling Fans,122.7
Ceiling Fans,122.8
Ceiling Fans,122.9
Ceiling Fans,123.0
Ceiling Fans,123.1
Ceiling Fans,123.2
Ceiling Fans,123.3
Ceiling Fans,123.4
Ceiling Fans,123.5
Ceiling Fans,123.6
Ceiling Fans,123.7
Ceiling Fans,123.8
Ceiling Fans,123.9
Ceiling Fans,124.0
Ceiling Fans,124.1
Ceiling Fans,124.2
Ceiling Fans,124.3
Ceiling Fans,124.4
Ceiling Fans,124.5
Ceiling Fans,120.0
Ceiling Fans & Conventional Fridge,299.9
Ceiling Fans & Conventional Fridge,299.8
Ceiling Fans & Conventional Fridge,299.7
Ceiling Fans & Conventional Fridge,299.6
Ceiling Fans & Conventional Fridge,299.5
Ceiling Fans & Conventional Fridge,299.4
Ceiling Fans & Conventional Fridge,299.3
Ceiling Fans & Conventional Fridge,299.2
Ceiling Fans & Conventional Fridge,299.1
Ceiling Fans & Conventional Fridge,299.0
Ceiling Fans & Conventional Fridge,298.9
Ceiling Fans & Conventional Fridge,298.8
Ceiling Fans & Conventional Fridge,298.7
Ceiling Fans & Conventional Fridge,298.6
Ceiling Fans & Conventional Fridge,298.5
Ceiling Fans & Conventional Fridge,298.4
Ceiling Fans & Conventional Fridge,298.3
Ceiling Fans & Conventional Fridge,298.2
Ceiling Fans & Conventional Fridge,298.1
Ceiling Fans & Conventional Fridge,298.0
Ceiling Fans & Conventional Fridge,297.9
Ceiling Fans & Conventional Fridge,297.8
Ceiling Fans & Conventional Fridge,297.7
Ceiling Fans & Conventional Fridge,297.6
Ceiling Fans & Conventional Fridge,297.5
Ceiling Fans & Conventional Fridge,297.4
Ceiling Fans & Conventional Fridge,297.3
Ceiling Fans & Conventional Fridge,297.2
Ceiling Fans & Conventional Fridge,297.1
Ceiling Fans & Conventional Fridge,297.0
Ceiling Fans & Conventional Fridge,296.9
Ceiling Fans & Conventional Fridge,296.8
Ceiling Fans & Conventional Fridge,296.7
Ceiling Fans & Conventional Fridge,296.6
Ceiling Fans & Conventional Fridge,296.5
Ceiling Fans & Conventional Fridge,296.4
Ceiling Fans & Conventional Fridge,296.3
Ceiling Fans & Conventional Fridge,296.2
Ceiling Fans & Conventional Fridge,296.1
Ceiling Fans & Conventional Fridge,296.0
Ceiling Fans & Conventional Fridge,295.9
Ceiling Fans & Conventional Fridge,295.8
Ceiling Fans & Conventional Fridge,295.7
Ceiling Fans & Conventional Fridge,295.6
Ceiling Fans & Conventional Fridge,295.5
Ceiling Fans & Conventional Fridge,300.1
Ceiling Fans & Conventional Fridge,300.2
Ceiling Fans & Conventional Fridge,300.3
Ceiling Fans & Conventional Fridge,300.4
Ceiling Fans & Conventional Fridge,300.5
Ceiling Fans & Conventional Fridge,300.6
Ceiling Fans & Conventional Fridge,300.7
Ceiling Fans & Conventional Fridge,300.8
Ceiling Fans & Conventional Fridge,300.9
Ceiling Fans & Conventional Fridge,301.0
Ceiling Fans & Conventional Fridge,301.1
Ceiling Fans & Conventional Fridge,301.2
Ceiling Fans & Conventional Fridge,301.3
Ceiling Fans & Conventional Fridge,301.4
Ceiling Fans & Conventional Fridge,301.5
Ceiling Fans & Conventional Fridge,301.6
Ceiling Fans & Conventional Fridge,301.7
Ceiling Fans & Conventional Fridge,301.8
Ceiling Fans & Conventional Fridge,301.9
Ceiling Fans & Conventional Fridge,302.0
Ceiling Fans & Conventional Fridge,302.1
Ceiling Fans & Conventional Fridge,302.2
Ceiling Fans & Conventional Fridge,302.3
Ceiling Fans & Conventional Fridge,302.4
Ceiling Fans & Conventional Fridge,302.5
Ceiling Fans & Conventional Fridge,302.6
Ceiling Fans & Conventional Fridge,302.7
Ceiling Fans & Conventional Fridge,302.8
Ceiling Fans & Conventional Fridge,302.9
Ceiling Fans & Conventional Fridge,303.0
Ceiling Fans & Conventional Fridge,303.1
Ceiling Fans & Conventional Fridge,303.2
Ceiling Fans & Conventional Fridge,303.3
Ceiling Fans & Conventional Fridge,303.4
Ceiling Fans & Conventional Fridge,303.5
Ceiling Fans & Conventional Fridge,303.6
Ceiling Fans & Conventional Fridge,303.7
Ceiling Fans & Conventional Fridge,303.8
Ceiling Fans & Conventional Fridge,303.9
Ceiling Fans & Conventional Fridge,304.0
Ceiling Fans & Conventional Fridge,304.1
Ceiling Fans & Conventional Fridge,304.2
Ceiling Fans & Conventional Fridge,304.3
Ceiling Fans & Conventional Fridge,304.4
Ceiling Fans & Conventional Fridge,304.5
Ceiling Fans & Conventional Fridge,300.0
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.9
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.8
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.7
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.6
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.5
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.4
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.3
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.2
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.1
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,422.0
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.9
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.8
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.7
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.6
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.5
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.4
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.3
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.2
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.1
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,421.0
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.9
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.8
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.7
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.6
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.5
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.4
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.3
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.2
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.1
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,420.0
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.9
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.8
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.7
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.6
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.5
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.4
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.3
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.2
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.1
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,419.0
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,418.9
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,418.8
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,418.7
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,418.6
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,418.5
Ceiling Fans & Conventional Fridge & Inverter Deep Freezer,423.1
