,label,watts
38167,LED Bulbs & LED Tube Light & Washing Machine & LED TV & Microwave Oven,1456.1
14192,Ceiling Fans & LED Bulbs & LED Tube Light & LED TV & Inverter Deep Freezer,337.3
4630,Ceiling Fans & LED Bulbs,135.6
29064,LED Bulbs & Conventional Fridge & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1761.4
18804,Ceiling Fans & LED Tube Light & Conventional Fridge & Microwave Oven & Inverter Deep Freezer,1442.4
30269,LED Bulbs & Conventional Fridge & Washing Machine & LED TV,623.3
28759,LED Bulbs & Conventional Fridge & Iron & Washing Machine,1581.6
43297,LED Tube Light & Iron & LED TV & Microwave Oven,2100.8
11296,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & LED TV & Inverter Deep Freezer,511.7
11168,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Washing Machine & Microwave Oven & Inverter Deep Freezer,2845.2
20745,Ceiling Fans & LED Tube Light & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1715.4
22008,Ceiling Fans & LED Tube Light & Washing Machine & LED TV & Inverter Deep Freezer,694.3
26311,Iron,1018.7
41549,LED Tube Light & Conventional Fridge & LED TV,258.9
17054,Ceiling Fans & LED Tube Light & Conventional Fridge & Iron & LED TV,1394.2
4152,Ceiling Fans & Iron & Washing Machine & LED TV & Inverter Deep Freezer,1694.3
41361,LED Tube Light & Conventional Fridge & Iron & Washing Machine & Microwave Oven,2588.3
46124,Washing Machine & LED TV,433.4
14886,Ceiling Fans & LED Bulbs & LED Tube Light & Washing Machine & LED TV & Inverter Deep Freezer,703.9
28359,LED Bulbs & Conventional Fridge & Iron & LED TV & Inverter Deep Freezer,1396.4
10393,Ceiling Fans & LED Bulbs & LED Tube Light & Conventional Fridge & Iron & Microwave Oven & Inverter Deep Freezer,2471.0
30556,LED Bulbs & Conventional Fridge & Washing Machine & LED TV & Microwave Oven & Inverter Deep Freezer,1747.7
3714,Ceiling Fans & Iron & Microwave Oven,2143.0
35805,LED Bulbs & LED Tube Light & Iron,1045.7
5823,Ceiling Fans & LED Bulbs & Conventional Fridge & Iron & Washing Machine & LED TV,1762.0
26125,Conventional Fridge & Washing Machine & Microwave Oven & Inverter Deep Freezer,1672.1
15331,Ceiling Fans & LED Bulbs & Microwave Oven,1127.6
2328,Ceiling Fans & Conventional Fridge & Washing Machine,670.9
